"USER_ID","ACCOUNT_ID","PLATFORM","ACCOUNT_NAME","ADS_ID","ADS_NAME","CREATED_DATE","START_DATE","MODIFIED_DATE","END_DATE","CAMPAING_ID","CAMPAIGN_NAME","CURRENCY","AMOUNT_SPENT","REACH","IMPRESSIONS","FREQUENCY","CPM","LINK_CLICKS","CTR","POST_COMMENTS","POST_REACTIONS","POST_SHARES","VIDEO_VIEWS","THRUPLAYS","FULL_VIDEO_VIEW","EST_AD_RECALL_LIFT","EST_AD_RECALL_LIFT_RATE","ACTIVE_VIEW_MEASURABILITY","LANDINGPAGECLICKS","PAID_COMMENTS","PAID_LIKES","PAID_SHARES"
"","502412610","LINKEDIN","","635718203","","2023-04-13","2023-04-19","2023-04-27","2023-04-19","224272153","MOL - link clicks - LI - Provozovatel Velké Meziříčí - 04/2023","EUR","12.300","","526","","23.384","5","0.951","0","","0","","","","","","","5","","0",""
"","502412610","LINKEDIN","","636513323","","2023-05-05","2023-05-07","2023-05-19","2023-05-07","225664073","MOL - link clicks - LI - Provozovatel Kutná Hora - 05/2023","EUR","9.960","","45","","221.333","1","2.222","0","","0","","","","","","","1","","0",""
"","502412610","LINKEDIN","","634018653","","2023-02-21","2023-02-22","2023-03-03","2023-02-22","220963693","MOL - link clicks - LI - Provozovatel Praha - 02-03/2023","EUR","17.750","","877","","20.239","9","1.026","0","","0","","","","","","","9","","1",""
"","502412610","LINKEDIN","","636512763","","2023-05-05","2023-05-07","2023-05-19","2023-05-07","225663153","MOL - link clicks - LI - Provozovatel Pardubice - 05/2023","EUR","8.110","","176","","46.080","3","1.705","0","","0","","","","","","","3","","0",""
"","502412610","LINKEDIN","","634018653","","2023-02-21","2023-02-27","2023-03-03","2023-02-27","220963693","MOL - link clicks - LI - Provozovatel Praha - 02-03/2023","EUR","17.670","","998","","17.705","9","0.902","0","","0","","","","","","","9","","1",""
"","502412610","LINKEDIN","","636918943","","2023-05-16","2023-05-21","2023-05-30","2023-05-21","226333883","MOL - link clicks - LI - Provozovatel Jindřichohradecko - 05/2023","EUR","6.970","","47","","148.298","2","4.255","0","","0","","","","","","","2","","0",""
"","502412610","LINKEDIN","","637027153","","2023-05-18","2023-05-24","2023-06-01","2023-05-24","226531513","MOL - link clicks - LI - Provozovatel Chebsko - 05-06/2023","EUR","0.700","","80","","8.750","2","2.500","0","","0","","","","","","","2","","0",""
"","502412610","LINKEDIN","","635718203","","2023-04-13","2023-04-13","2023-04-27","2023-04-13","224272153","MOL - link clicks - LI - Provozovatel Velké Meziříčí - 04/2023","EUR","13.460","","399","","33.734","8","2.005","0","","0","","","","","","","8","","1",""
"","502412610","LINKEDIN","","637296543","","2023-05-25","2023-05-29","2023-06-08","2023-05-29","226983983","MOL - link clicks - LI - Provozovatel Praha - 05-06/2023","EUR","12.670","","525","","24.133","7","1.333","0","","0","","","","","","","7","","1",""
"","502412610","LINKEDIN","","636918943","","2023-05-16","2023-05-18","2023-05-30","2023-05-18","226333883","MOL - link clicks - LI - Provozovatel Jindřichohradecko - 05/2023","EUR","14.350","","121","","118.595","4","3.306","0","","0","","","","","","","4","","0",""
"","502412610","LINKEDIN","","637296543","","2023-05-25","2023-06-08","2023-06-08","2023-06-08","226983983","MOL - link clicks - LI - Provozovatel Praha - 05-06/2023","EUR","14.460","","451","","32.062","5","1.109","0","","0","","","","","","","5","","0",""
"","502412610","LINKEDIN","","636513323","","2023-05-05","2023-05-10","2023-05-19","2023-05-10","225664073","MOL - link clicks - LI - Provozovatel Kutná Hora - 05/2023","EUR","15.410","","137","","112.482","1","0.730","0","","0","","","","","","","1","","0",""
"","502412610","LINKEDIN","","634018653","","2023-02-21","2023-02-25","2023-03-03","2023-02-25","220963693","MOL - link clicks - LI - Provozovatel Praha - 02-03/2023","EUR","12.850","","442","","29.072","5","1.131","0","","0","","","","","","","5","","1",""
"","502412610","LINKEDIN","","636512763","","2023-05-05","2023-05-06","2023-05-19","2023-05-06","225663153","MOL - link clicks - LI - Provozovatel Pardubice - 05/2023","EUR","7.120","","224","","31.786","4","1.786","0","","0","","","","","","","4","","0",""
"","502412610","LINKEDIN","","636512763","","2023-05-05","2023-05-09","2023-05-19","2023-05-09","225663153","MOL - link clicks - LI - Provozovatel Pardubice - 05/2023","EUR","14.340","","454","","31.586","8","1.762","0","","0","","","","","","","8","","0",""
"","502412610","LINKEDIN","","636513323","","2023-05-05","2023-05-16","2023-05-19","2023-05-16","225664073","MOL - link clicks - LI - Provozovatel Kutná Hora - 05/2023","EUR","13.660","","91","","150.110","0","0.000","0","","0","","","","","","","0","","1",""
"","502412610","LINKEDIN","","636918943","","2023-05-16","2023-05-26","2023-05-30","2023-05-26","226333883","MOL - link clicks - LI - Provozovatel Jindřichohradecko - 05/2023","EUR","12.540","","105","","119.429","2","1.905","0","","0","","","","","","","2","","1",""
"","502412610","LINKEDIN","","635709853","","2023-04-13","2023-04-16","2023-04-27","2023-04-16","224253913","MOL - link clicks - LI - Provozovatel Brno - 04/2023","EUR","8.260","","235","","35.149","0","0.000","0","","0","","","","","","","0","","0",""
"","502412610","LINKEDIN","","636512763","","2023-05-05","2023-05-18","2023-05-19","2023-05-18","225663153","MOL - link clicks - LI - Provozovatel Pardubice - 05/2023","EUR","11.040","","392","","28.163","5","1.276","0","","0","","","","","","","5","","0",""
"","502412610","LINKEDIN","","637296543","","2023-05-25","2023-06-05","2023-06-08","2023-06-05","226983983","MOL - link clicks - LI - Provozovatel Praha - 05-06/2023","EUR","14.430","","288","","50.104","1","0.347","0","","0","","","","","","","1","","0",""
"","502412610","LINKEDIN","","637027153","","2023-05-18","2023-05-26","2023-06-01","2023-05-26","226531513","MOL - link clicks - LI - Provozovatel Chebsko - 05-06/2023","EUR","15.930","","90","","177.000","0","0.000","0","","0","","","","","","","0","","0",""
"","502412610","LINKEDIN","","635709853","","2023-04-13","2023-04-15","2023-04-27","2023-04-15","224253913","MOL - link clicks - LI - Provozovatel Brno - 04/2023","EUR","7.850","","268","","29.291","4","1.493","0","","0","","","","","","","4","","0",""
"","502412610","LINKEDIN","","637027153","","2023-05-18","2023-05-30","2023-06-01","2023-05-30","226531513","MOL - link clicks - LI - Provozovatel Chebsko - 05-06/2023","EUR","9.190","","70","","131.286","0","0.000","0","","0","","","","","","","0","","0",""
"","502412610","LINKEDIN","","637296543","","2023-05-25","2023-06-01","2023-06-08","2023-06-01","226983983","MOL - link clicks - LI - Provozovatel Praha - 05-06/2023","EUR","15.560","","542","","28.708","2","0.369","0","","0","","","","","","","2","","0",""
"","502412610","LINKEDIN","","636512763","","2023-05-05","2023-05-11","2023-05-19","2023-05-11","225663153","MOL - link clicks - LI - Provozovatel Pardubice - 05/2023","EUR","13.760","","286","","48.112","2","0.699","0","","0","","","","","","","2","","0",""
