"src_id","user_id","account_id","platform_id","account_name","ads_id","ads_name","created_date","start_date","modified_date","end_date","campaign_id","campaign_name","currency_id","spent_amount","reach","impressions","frequency","cpm","link_clicks","ctr","post_comments","post_reactions","post_shares","video_views","six_sec_video_view","full_video_view","est_ad_recall_lift","est_ad_recall_lift_rate","active_view_measurability","landing_page_clicks","paid_comments","paid_likes","paid_shares"
"FACEBOOK.23855705427700537.2023-07-21","","352868678590886","FACEBOOK","WMC | Grey - MOL - (EUR)","23855705427700537","10 - FB+IG - 22. 6. - Animace DP - Trvalé slevy","","2023-07-21","","2023-07-21","23855139695340537","MOL - link clicks - FB+IG - MOL MOVE kampaň - 05-07/2023","EUR","0.570","403","440","","1.295","4","0.909","","","","","","","","","","","","",""
"FACEBOOK.23856375163950537.2023-07-09","","352868678590886","FACEBOOK","WMC | Grey - MOL - (EUR)","23856375163950537","01 - IG story - 3. 7. - Dynamic - Teaser","","2023-07-09","","2023-07-09","23856375163940537","MOL - IG stories - brand awareness - PWG kampaň - 07-09/2023","EUR","12.910","9415","9415","","1.371","10","0.106","","","","","","","","","","","","",""
"FACEBOOK.23856436185300537.2023-07-16","","352868678590886","FACEBOOK","WMC | Grey - MOL - (EUR)","23856436185300537","01 - FB - 4. 7. - Static - carousel","","2023-07-16","","2023-07-16","23856436185130537","MOL - link clicks - FB - MOL MOVE kampaň - 05-07/2023","EUR","19.720","9632","16087","","1.226","118","0.734","","","","","","","","","","","","",""
"FACEBOOK.23855705427670537.2023-07-11","","352868678590886","FACEBOOK","WMC | Grey - MOL - (EUR)","23855705427670537","11 - FB+IG - 22. 6. - Animace DP - Za registraci káva zdarma","","2023-07-11","","2023-07-11","23855139695340537","MOL - link clicks - FB+IG - MOL MOVE kampaň - 05-07/2023","EUR","0.210","165","185","","1.135","1","0.541","","","","","","","","","","","","",""
"FACEBOOK.23855705427720537.2023-07-21","","352868678590886","FACEBOOK","WMC | Grey - MOL - (EUR)","23855705427720537","09 - FB+IG - 22. 6. - Animace DP - Už máte appku?","","2023-07-21","","2023-07-21","23855139695340537","MOL - link clicks - FB+IG - MOL MOVE kampaň - 05-07/2023","EUR","1.080","648","813","","1.328","10","1.230","","","","","","","","","","","","",""
"FACEBOOK.23856136034030537.2023-07-06","","352868678590886","FACEBOOK","WMC | Grey - MOL - (EUR)","23856136034030537","02 - FB+IG - 3. 7. - Dynamic - Mrkejte - DP 02","","2023-07-06","","2023-07-06","23856134224000537","MOL - FB+IG - link clicks - PWG kampaň - 07-09/2023","EUR","34.910","20668","24976","","1.398","318","1.273","","","","","","","","","","","","",""
"FACEBOOK.23855705010990537.2023-07-22","","352868678590886","FACEBOOK","WMC | Grey - MOL - (EUR)","23855705010990537","10 - FB+IG - 22. 6. - Animace DP - Trvalé slevy","","2023-07-22","","2023-07-22","23855139695340537","MOL - link clicks - FB+IG - MOL MOVE kampaň - 05-07/2023","EUR","5.860","4326","4972","","1.179","39","0.784","","","","","","","","","","","","",""
"FACEBOOK.23855705100190537.2023-07-14","","352868678590886","FACEBOOK","WMC | Grey - MOL - (EUR)","23855705100190537","11 - FB+IG - 22. 6. - Animace DP - Za registraci káva zdarma","","2023-07-14","","2023-07-14","23855139695340537","MOL - link clicks - FB+IG - MOL MOVE kampaň - 05-07/2023","EUR","5.980","3738","4141","","1.444","31","0.749","","","","","","","","","","","","",""
"FACEBOOK.23855705010990537.2023-07-19","","352868678590886","FACEBOOK","WMC | Grey - MOL - (EUR)","23855705010990537","10 - FB+IG - 22. 6. - Animace DP - Trvalé slevy","","2023-07-19","","2023-07-19","23855139695340537","MOL - link clicks - FB+IG - MOL MOVE kampaň - 05-07/2023","EUR","7.170","5350","6014","","1.192","51","0.848","","","","","","","","","","","","",""
"FACEBOOK.23855705253800537.2023-07-18","","352868678590886","FACEBOOK","WMC | Grey - MOL - (EUR)","23855705253800537","12 - FB+IG - 22. 6. - Animace DP - Stáhni aplikaci a dostaneš kávu","","2023-07-18","","2023-07-18","23855139695340537","MOL - link clicks - FB+IG - MOL MOVE kampaň - 05-07/2023","EUR","13.920","10022","11677","","1.192","71","0.608","","","","","","","","","","","","",""
"FACEBOOK.23856375163950537.2023-07-06","","352868678590886","FACEBOOK","WMC | Grey - MOL - (EUR)","23856375163950537","01 - IG story - 3. 7. - Dynamic - Teaser","","2023-07-06","","2023-07-06","23856375163940537","MOL - IG stories - brand awareness - PWG kampaň - 07-09/2023","EUR","33.810","30856","30952","","1.092","25","0.081","","","","","","","","","","","","",""
